"","x"
"46","RT @BuddhaSeeds: La venta legal de #cannabis en #Colorado se dispara,35 millones de $ ir√°n para nuevos #coles https://t.co/8Bn00v4OqP https‚Ä¶"
"47","Coles - Fruit &amp; Veg Specials - Valid until Thurs, 18th Feb..@Coles #coles #fruits‚Ä¶ https://t.co/ZYlOfP1IEZ https://t.co/CmLZg0GpZn"
"48","#Job #Australia #Coles Store Cleaners and Trolley Collectors &amp;#8211; Mornington Part Time in #Mornington VIC, https://t.co/XLeUlV7lQS"
"49","#Job #Australia #Coles Store Team Members &amp;#8211; Coles Collie Part Time in #Collie WA, https://t.co/XUNMF5XpXe"
"50","#Coffs Harbour's only commercial #mango #farm is tantalising the taste buds of #Coles &amp; #Woolworths - story on @nbnnews at six #NBNMidNorth"
"51","Feeling a little ripped off that I didn't get the toy spider #coles #creepyspiderinvasion https://t.co/tj6uAczYkV"
"52","@Lisa_Wilkinson - Great host yesterday. Top evening &amp; a cheeky award to take home #winning #coles #productoftheyear https://t.co/kYu7gmSiSi"
"53","Lots of books || 2.11.16 #photooftheday #bookstore #coles ##gracehelbig #lovebooks #books‚Ä¶ https://t.co/64AmRZSaby"
"54","Just In case you didn't know what a watermelon looks like #coles #watermelon #watermelonrevolution https://t.co/y9E0uBYPOr"
"55","Grab the limited edition Peanut Butter Flavour Up&amp;Go on your way to work today! #Coles #upandgo #breaky https://t.co/OwuYTi3Y5f"
"56","#Job #Australia #Coles Store Team Member &amp;#8211; Coles Kurralta Park Part Time in #Kurralta Park SA, https://t.co/jVT8DWhU9b"
"57","#coles #pinklady #apples taste and smell like paint stripper."
"58","I bought these #Coles apples that were too bland too eat. That was months ago. They won't die.‚Ä¶ https://t.co/YoIvITn0HX"
"59","#Job #Australia #Coles Customer Service Team Member &amp;#8211; Coles Kalgoorlie Part Time in #Kalgoorlie WA, https://t.co/G1kjzzanDt"
"60","RT @BuddhaSeeds: La venta legal de #cannabis en #Colorado se dispara,35 millones de $ ir√°n para nuevos #coles https://t.co/8Bn00v4OqP https‚Ä¶"
"61","La venta legal de #cannabis en #Colorado se dispara,35 millones de $ ir√°n para nuevos #coles https://t.co/8Bn00v4OqP https://t.co/kl0lPVUhoV"
"62","Ì†ºÌ∂ï #Coles &amp; #Woolworths #auspol 
https://t.co/XCx9d9uDpQ https://t.co/v7fp5smEvB"
"63","#Job #Australia #Coles Coles Services Team Member &amp;#8211; Mt Annan Part Time in #New South Wales, https://t.co/t9DXzA8wVF"
"64","#Job #Australia #Coles Store Team Member ‚Äì Coles Moree ‚Äì Limited Tenure Contract in #New South Wales, https://t.co/NU13D7R0VB"
"65","That before work coffee ‚òïÌ†ΩÌ±å‚úîÌ†ΩÌ∏ä #coffeesnob #Melbournecoffee   #darkrye #work #coles @ Westfield https://t.co/gm0E4hH5DF"
"66","RT @sempreflora: En Benicarl√≥ ya han decorado algunos rincones y plazas con #Coles ornamentales con brillo navide√±o... https://t.co/6ovGNJJ‚Ä¶"
"67","#Job #Australia #Coles Senior DBA- Teradata Coles Financial Services Full Time in #Victoria, https://t.co/mMF4pIWQJR"
"68","#Job #Australia #Coles Night Fill Team Leader &amp;#8211; Coles Carrum Downs Full Time in #Carrum Downs VIC, https://t.co/k9Iqj4y5Xu"
"69","#Job #Australia #Coles Sales Assistant &amp;#8211; Vintage Cellars Manly Part Time in #Manly QLD, https://t.co/wmQorf3fgC"
"70","Bring back Vanilla flavoured Nesquik. Can't get it anywhere :( #nesquik #Nestle #coles #MyChildhood"
"71","Thanks @mykitchenrules @Coles 4 the $100 #coles voucher! I'll post pics of the 'Salmon' BBQ Sunday during #mkr https://t.co/LxPU16pSln"
"72","#Job #Australia #Coles Nightfill Team Member &amp;#8211; Coles Smithfield Part Time in #Smithfield QLD, https://t.co/bNN5FbqDo1"
"73","Wasn't that #thing at #coles #selfservice #checkout, #unexpecteditem, to prevent theft @BickmoreCarrie @theprojecttv"
"74","RT @Olimba_Media: Top 10 Most Controversial Twitter Posts in 2013 [https://t.co/D1cEUSNAOa] #controversial #syria #tweet #coles https://t.c‚Ä¶"
"75","I refuse to use self checkouts.  #Coles and #Woolworths can get stuffed. I like my guys &amp; gals at the checkouts in #Beaconsfield"
"76","RT @BrigadierSlog: Nice work #Coles, fairy bread for the little ones. Going fast too https://t.co/QXbnsAVhGA"
"77","Nice work #Coles, fairy bread for the little ones. Going fast too https://t.co/QXbnsAVhGA"
"78","RT @topbargain: Coles - Map Caffitaly Coffee Machine $49.50 (Was $108.9)..@Coles #coles #caffitaly #coffee:‚Ä¶ https://t.co/l2lraUhgxV https:‚Ä¶"
"79","Coles - Map Caffitaly Coffee Machine $49.50 (Was $108.9)..@Coles #coles #caffitaly #coffee:‚Ä¶ https://t.co/l2lraUhgxV https://t.co/OdfJLNJvX9"
"80","@Coles I bought Coles brand eggs yesterday. 3 of them had blood in them !! #coles https://t.co/O2ztptSVPO"
"81","#Job #Australia #Coles Retail Merchandise Specialist &amp;#8211; Coles Express Full Time in #Western Australia, https://t.co/Fa5txU4J1j"
"82","#Job #Australia #Coles Coles Services Team Members &amp;#8211; Bundaberg Part Time in #Bundaberg QLD, https://t.co/IXgekhMl7H"
"83","My order came in...#kristencast #books #indigo #coles #houseofnightseries #ambersmoke #HoN #reading https://t.co/YZsTHvoOnK"
"84","#Job #Australia #Coles Customer Service Agent &amp;#8211; Coles Online &amp;#8211; Bassendean Part Time in #Bassendean WA, https://t.co/f51Eo0aGEQ"
"85","RT ‚ì£CatchaJob_au https://t.co/nFiRLGkzPd #Job #Australia #Coles Customer Service Agent &amp;#8211; Coles Online Lane ‚Ä¶ https://t.co/Y51NFCJj0h"
"86","#Job #Australia #Coles Customer Service Agent &amp;#8211; Coles Online Lane Cove Part Time in #Lane Cove NSW, https://t.co/4Q2EnEsNUo"
"87","#Coles dumps most annoying part of self-serve checkout https://t.co/gknahjAl2P"
"88","New post: Channel Seven News ‚Äì Coles Toxic Dump (23 A https://t.co/kC7dzee4R4 #2015 #23 #august #channel #coles #dump #news #seven #toxic"
"89","Coles makes a Monkey of Chinese New Year https://t.co/ZM2rea0mCI via @MumbrellaNews #coles #chinesenewyear #marketing"
"90","RT @Coles: Go nuts on your way to work with the limited edition Peanut Butter flavour Up&amp;Go. #Coles #upandgo #breaky https://t.co/qIIJfakOwg"
"91","Go nuts on your way to work with the limited edition Peanut Butter flavour Up&amp;Go. #Coles #upandgo #breaky https://t.co/qIIJfakOwg"
"92","RT @TVGalicia: A denuncia sobre a situaci√≥n do colexio Cambeo no municipio ourens√°n de #Coles, foi a nova m√°is vista deste martes https://t‚Ä¶"
"93","#Job #Australia #Coles Bakery Manager &amp;#8211; Coles Tea Tree Plaza Full Time in #Modbury SA, https://t.co/Wf7nRrtSj4"
"94","#men√∫ #entrante #Coles con piquillos agridulces --&gt; https://t.co/wsDJRjU8LK Gracias a ""Puntiyo"" https://t.co/A9dsLvNDzv"
"95","#Job #Australia #Coles Trade Qualified Baker &amp;#8211; Coles Endeavour Hills Part Time in #Endeavour Hills VIC, https://t.co/FGAuGJK2Ge"
"96","#Job #Australia #Coles Store Team Member &amp;#8211; Coles Edmonton Part Time in #Edmonton QLD, https://t.co/La9Km4wXnj"
"97","#Job #Australia #Coles Nightfill Team Member &amp;#8211; Coles Burrendah Part Time in #Western Australia, https://t.co/hz6zVPCRq9"
"98","@jeremyinthebox could it be cross promotion? Curtis Stone's feed your family for under $10. #coles #mkr"
"99","#Coles if I wanted to be a checkout chick I wouldn't have got a law degree.but you forced me to be one Ì†ΩÌ∏°"
"100","RT ‚ì£CatchaJob_au https://t.co/ZlMwb9FnKs #Job #Australia #Coles Store Team Members &amp;#8211; Coles Warringah Mall (‚Ä¶ https://t.co/lliqpPzxAd"
"101","#Job #Australia #Coles Store Team Members &amp;#8211; Coles Warringah Mall (Brookvale) Part Time in #Warringah Mall NSW, https://t.co/yqEz0qZxpR"
"102","Sources telling me @cody_macc on  @JColeNC #Coles new album dropping this weekend Ì†ΩÌ±Ä"
"103","One sale because half of it is missing...? #Coles https://t.co/O81aWy83IC"
"104","Sometimes in life, you need to take risks... #Coles #Salmonella https://t.co/50DeXocANK"
"105","RT ‚ì£CatchaJob_au https://t.co/BOLTgVUp5E #Job #Australia #Coles New Store Opening &amp;#8211; Coles Wetherill Park Pa‚Ä¶ https://t.co/UbIZOJd0x4"
"106","#Job #Australia #Coles New Store Opening &amp;#8211; Coles Wetherill Park Part Time in #Wetherill Park NSW, https://t.co/B4KfyKcW1C"
"107","#Job #Australia #Coles Nightfill Team Member &amp;#8211; Coles Pinjarra Part Time in #Pinjarra WA, https://t.co/AVtbs9y05u"
"108","Atresmedia lanza la  #IV edici√≥n de los  #Premios ' #Coles  #Activos' para incentivar y reconocer  #h√°bitos de.. https://t.co/jgeD8urZap"
"109","#Job #Australia #Coles Baker &amp;#8211; Coles Meadow Mews Full Time in #Coles Bay TAS, https://t.co/Muk2GfqESG"
"110","#Job #Australia #Coles Store Team Member &amp;#8211; Coles Forster &amp;#8211; Limited Tenure Contract in #Forster NSW, https://t.co/HHZY9Tbb6v"
"111","Today I saw people eating lettuce and thought they were either brave or stupid #salmonella #coles #woolies"
"112","#Job #Australia #Coles Sales Assistant &amp;#8211; Liquorland Burpengary Part Time in #Burpengary QLD, https://t.co/VOU8d7LChh"
"113","Hoy va a ser un gran d√≠a Ì†ΩÌ∏é
 #estoeshighlife #hl4schools #coles #ni√±os #esqui #nieve #seguridadaprendizajediversion https://t.co/axih08QMde"
"114","The #Coles chicken and parsley sausages are AMAZING!"
"115","Just opened these blackberries, thank you Coles Ì†ΩÌ∏§ Guess that's $4 down the drain.. #Coles #YumMould Ì†ΩÌ∏© https://t.co/xDzLf9EL0V"
"116","#Job #Australia #Coles Fresh Produce Team Members &amp;#8211; Coles Mosman Park Full Time in #Mosman Park WA, https://t.co/UgC6FhjqnV"
"117","#Job #Australia #Coles Team Member &amp;#8211; Coles South Hedland Part Time in #South Hedland WA, https://t.co/v1AwnyOWLm"
"118","#Job #Australia #Coles Coles Services In Charge Team Members Part Time in #Victoria, https://t.co/I59x9xYoyt"
"119","Sneak peek of my appearance in the #Coles commercial. #acting #me #selfie #glasses #supermarket‚Ä¶ https://t.co/97860NV2cA"
"120","Next #coles commercial you'll see will have me advertising plums in an apron &amp; cap. A lot of fun! #commercial #work #filming"
"121","Why does your bread still have holes in it? If I can make pane at home in conventional oven why cant you. Pathetic!  #Coles"
"122","@GrowcomRachel @NationalFarmers @bellevueluck @lommanr you need #coles #woolworths in discussion, Audit overload for many food businesses!"
"123","Don't know why I bother with theses when #Coles fuel is 20% dearer than others, wtf is 4c gonna do? https://t.co/dD2IEFY64l"
"124","Check out the non human sources to update you knowledge on #Salmonella anatum https://t.co/ZNwVRcNQ7G @microbiology #coles #woolworths"
"125","#Job #Australia #Coles Deli Manager &amp;#8211; Mackay Full Time in #Mackay QLD, https://t.co/2xQJZvdRfs"
"126","RT Australia Hiring Job CatchaJob_au #Job #Australia #Coles Services Team Members ‚Äì Coles, North Sydney Part Time ‚Ä¶ https://t.co/TK4y7QBcAY"
"127","RT ‚ì£CatchaJob_au https://t.co/atMMPZqB2K #Job #Australia #Coles Services Team Members &amp;#8211; Coles, North Sydney‚Ä¶ https://t.co/s5o8bi9b09"
"128","#Job #Australia #Coles Services Team Members &amp;#8211; Coles, North Sydney Part Time in #Sydney NSW, https://t.co/AGwAG8Q0zt"
"129","RT @Coles: For energy to burn, try Nice &amp; Natural Roasted Nut Bars. Half price this week. #Coles #nutbar #lunchbox https://t.co/1fri8ieRGM"
"130","Watch out for this! https://t.co/gKKjnVGo40 #Coles #Lettuce #Recall"
"131","Happy Sunday! This year do more what makes you happy via #Coles. #MyIntention https://t.co/Ee6ieiRf2c"
"132","Tried this yet? It's pretty awesome! Ì†ΩÌ∏ú #packed #Coles #Icecream #gains https://t.co/qfNBSt1mGF"
"133","#Job #Australia #Coles Store Team Member &amp;#8211; Coles South Hedland Part Time in #South Hedland WA, https://t.co/NarX58SpfF"
"134","#Job #Australia #Coles Sales Assistant &amp;#8211; 1st Choice Liquor Bicton Part Time in #Bicton WA, https://t.co/aduDjXV4l5"
"135","#Job #Australia #Coles Duty Manager &amp;#8211; Australind Part Time in #Australind WA, https://t.co/R6zRrGk2RT"
"136","#Job #Australia #Coles Trade Qualified Baker &amp;#8211; Coles South Morang Full Time in #Morang VIC, https://t.co/561GHTLCe4"
"137","#Job #Australia #Coles Sales Assistant &amp;#8211; Liquorland Ipswich Part Time in #Ipswich QLD, https://t.co/nYt2YaG4Yx"
"138","Emm #coles your #subiaco store is selling expired spreads.... https://t.co/lfjrMoRBkb"
"139","RT @ GetAJobUSA: #Coles Services Team Members ‚Äì Coles #Cannonvale# - #Cannonvale #CSR #TweetMyJobsApply: ‚Ä¶ https://t.co/NP9bBq2dSz"
"140","#Coles Services Team Members ‚Äì Coles #Cannonvale
# - #Cannonvale #CSR  #TweetMyJobs
Apply: https://t.co/gPn8ZMC155 https://t.co/orzzvcNCjJ"
"141","#Coles Curtis it's pronounced ""Australia."" Aus-tra-LIA It has an L in the last syllable, not a Y."
"142","#Job #Australia #Coles Team Member &amp;#8211; Liquorland Casula Full Time in #Casula NSW, https://t.co/Q98Y9erIp4"
"143","#MKR Never see creme fraiche in Coles and I have looked in several stores often,  so how do the contestants get it from there?
#Coles"
"144","#Job #Australia #Coles Trade Qualified Baker &amp;#8211; Coles Toowong Full Time in #Toowong QLD, https://t.co/7oF7XMt0YH"
"145","@Coles if your read our #feedback at @coles web site and think that this is acceptable then treatment of customers then #Coles is not for us"
"146","#Job #Australia #Coles Trade Qualified Baker &amp;#8211; Coles Corio Full Time in #Corio VIC, https://t.co/dkExG3YnWc"
"147","Organic Zucchini in #Coles longlegs branded https://t.co/7DaMEhuPun"
"148","#Job #Australia #Coles State Manager People &amp;amp; Product Safety &amp;#8211; SA/NT/TAS Full Time in #South Australia, https://t.co/w95TLWS8gQ"
"149","#Job #Australia #Coles Nightfill Team Member &amp;#8211; Coles Bunbury Forum Part Time in #Bunbury WA, https://t.co/LDc4GTK0xa"
"150","#Job #Australia #Coles Trade Qualified Baker &amp;#8211; Coles Casula Full Time in #Casula NSW, https://t.co/ecOXwnPZRC"
"151","Interesting that my local #Coles supermarket puts Coles brand #eggs in refrigerated aisle but not the others"
"152","RT ‚ì£CatchaJob_au https://t.co/GsTyX92Icy #Job #Australia #Coles Customer Service Representative &amp;#8211; Coles Exp‚Ä¶ https://t.co/KA4X0bbq7c"
"153","#Job #Australia #Coles Customer Service Representative &amp;#8211; Coles Express Bathurst Part Time in #Bathurst NSW, https://t.co/hSa6bwMTPw"
"154","#Job #Australia #Coles Sales Assistant &amp;#8211; Liquorland Robina &amp;#8211; New Store! Part Time in #Robina QLD, https://t.co/tXyTrDLmFJ"
"155","#Coles Nurture Fund - Coles has established the Coles Nurture Fund (CNF) to help small Australian food and... https://t.co/8ZiU6f9gW4"
"156","#Job #Australia #Coles Services Team Leader &amp;#8211; Coles Hervey Bay Full Time in #Hervey Bay QLD, https://t.co/bRHKfOHM3Z"
"157","Watch out for this! https://t.co/gKKjnVGo40 #Coles #Lettuce #Recall"
"158","#Job #Australia #Coles Nightfill Team Member &amp;#8211; Coles Port Augusta Part Time in #Port Augusta SA, https://t.co/fmBmKrL3ep"
"159","#Job #Australia #Coles Customer Service Agent &amp;#8211; Coles Online Fairfield Part Time in #Fairfield QLD, https://t.co/g0Jz4DmOh6"
"160","RT @EGraziani1: Both my paperbacks are now at #HamOnt #Coles #Eastgatesquare AOTR was sold out &amp; WIMT is new! #cantputitdown #books https:/‚Ä¶"
"161","Both my paperbacks are now at #HamOnt #Coles #Eastgatesquare AOTR was sold out &amp; WIMT is new! #cantputitdown #books https://t.co/QbyKriYQHl"
"162","Up for this competetion 
#Coles #PomPom Ì†ºÌæâÌ†ºÌæä"
"163","ÈÄôÂåÖÂåÖÁúüÂ•ΩÁî® Ì†ΩÌ±ç#Aussie #coles #wws https://t.co/IBCRLVAAKt"
"164","#Coles going hard on the lettuce ads tonight. Just don't put it in a bag, I guess?  :p https://t.co/KkMxrgH4cG"
"165","Am I the only one who thinks @Coles shouldn't be too proud about selling three-star beef? Where are the other two stars? #groceries #Coles"
"166","And don't believe labels that say, ""washed &amp; ready to eat"". #Coles #Woolworths #freshfood  https://t.co/3Tx524TEbr"
"167","Watch out for this! https://t.co/gKKjnVGo40 #Coles #Lettuce #Recall"
"168","#Job #Australia #Coles Customer Service Representative &amp;#8211; Coles Express Kununurra Part Time in #Kununurra WA, https://t.co/Xw03AI5trk"
"169","#Job #Australia #Coles Trade Qualified Baker &amp;#8211; Coles Toronto Part Time in #Toronto NSW, https://t.co/gYUmCYhPMa"
"170","@tlightly1 @MariaZryd @AnimalsAus  Don't think t'is any of these Shea - more likely how #Coles and Woolies supply meat @Animals_News_AU"
"171","#datenightwithmytwoloves #oldfashioned #vier #inthatorder #coles @ Cole's, Originators of the‚Ä¶ https://t.co/KChYDluhBK"
"172","Alert: There are several emails circulating that appear to be from Coles (coles@colesvoucher.com). DELETE. #Coles #EmailScam #Delete"
"173","#Job #Australia #Coles Team Member &amp;#8211; Liquorland Casula Full Time in #Casula NSW, https://t.co/Q98Y9erIp4"
"174","Guess who doesn't have #salmonella in their salad? Every #MeGrow #microfarmer. #coles #woolworths #liteneasy #lettuce #fail"
"175","#loveofmylife #habenaro #chillies #hot #Coles #igdaily https://t.co/qSbjiB4U0l"
"176","#carnaval als #coles de #constanti
Aix√≤ ja comen√ßa..... https://t.co/xkwVjcMonx"
"177","#coles  WE ARE ..WE ARE ...The fresh food people  .....errrrr"
"178","RT ‚ì£CatchaJob_au https://t.co/ZA0cVM8Syk #Job #Australia #Coles Team Members &amp;#8211; Coles Kings Cross Part Time ‚Ä¶ https://t.co/mDfgqytiHP"
"179","#Job #Australia #Coles Team Members &amp;#8211; Coles Kings Cross Part Time in #Kings Cross NSW, https://t.co/2oludBGo4m"
"180","Lettuce recall: #Coles still selling packaged lettuce https://t.co/7XqKVLvst9 #lettucegate"
"181","Saw half empty shelves where the lettuce should be last night #lettucegate #coles"
"182","Poor form #coles, 8.20am &amp; buffing the store floors, without 'cleaning in progress/wet floor' signs. WHS issue there. Hope nobody slips!"
"183","RT @alyshasteinman: hbd princess&lt;3 #coles #school #of #rock https://t.co/56ENL23jM1"
"184","hbd princess&lt;3 #coles #school #of #rock https://t.co/56ENL23jM1"
"185","RT @GlongEnviroInc: #Lettuce recall at #Coles, #Woolworths: Why we should avoid pre-packaged greens  https://t.co/kNmuaHymj0 via @geelongad‚Ä¶"
"186","#Lettuce recall at #Coles, #Woolworths: Why we should avoid pre-packaged greens  https://t.co/kNmuaHymj0 via @geelongaddy"
"187","#Medical Record Field Reviewer
#MedicalJobs - #Coles #IL #MedicalJobs  #TweetMyJobs
Apply: https://t.co/oxhmH2XyiL"
"188","Happy Friday! This year do more what makes you happy via #Coles. #MyIntention https://t.co/Lo8hNW8HbW"
"189","Watch out for this! https://t.co/gKKjnVGo40 #Coles #Lettuce #Recall"
"190","RT @SBS2: #Coles Promises To Price Match #Woolworths Spider Lettuce: https://t.co/7o1Xx4T7KV @SBSComedy https://t.co/5h1VSiN9et"
"191","RT @sanj971: #Coles and #Woolworths recall pre-packed #salad leaf products linked to #salmonella #infection https://t.co/M7jNfmGfn8 #Austra‚Ä¶"
"192","#Job #Australia #Coles Fresh Produce Manager Full Time in #New South Wales, https://t.co/Nnw0JQYDsW"
"193","RT @adaptive_ape: Pyne and #ashbygate must be of interest to the voters of #Coles ? #auspol https://t.co/AGWqkxkbwS"
"194","#coles #woolworths #salad #recall #salmonella #salmonellasalad #hahahaha Eat healthy they said!!! https://t.co/w4UguoaPVW"
"195","RT @adaptive_ape: Pyne and #ashbygate must be of interest to the voters of #Coles ? #auspol https://t.co/AGWqkxkbwS"
"196","RT @adaptive_ape: Pyne and #ashbygate must be of interest to the voters of #Coles ? #auspol https://t.co/AGWqkxkbwS"
"197","Pyne and #ashbygate must be of interest to the voters of #Coles ? #auspol https://t.co/AGWqkxkbwS"
"198","RT @Cartorit: ""Coles and Woolworths caught up in toxic lettuce recall""  shop #foodland people. #Woolworths #colesworth #Coles cheap comes a‚Ä¶"
"199","""Coles and Woolworths caught up in toxic lettuce recall""  shop #foodland people. #Woolworths #colesworth #Coles cheap comes at a cost."
"200","RT @severs_jeanette: #Coles confirms recall on #spinach #rocket #lettuce baby leaf pack up to &amp; incl usebydate 11/2 @stockandland @GoodFrui‚Ä¶"
"201","#Job #Australia #Coles Grocery Department Manager &amp;#8211; Prospect Full Time in #Prospect SA, https://t.co/O4Xz38nlBM"
"202","#Coles confirms recall on #spinach #rocket #lettuce baby leaf pack up to &amp; incl usebydate 11/2 @stockandland @GoodFruitandVeg @VicGovHealth"
"203","RT @SBS2: #Coles Promises To Price Match #Woolworths Spider Lettuce: https://t.co/7o1Xx4T7KV @SBSComedy https://t.co/5h1VSiN9et"
"204","Coles customers wants to keep egg safe https://t.co/VP3JX7Z0qo INTERNET- NETWORKING #coles #customers #keep FREE¬†ADS CLASSIFIEDS ADVERTISE"
"205","RT @SBS2: #Coles Promises To Price Match #Woolworths Spider Lettuce: https://t.co/7o1Xx4T7KV @SBSComedy https://t.co/5h1VSiN9et"
"206","RT @SBS2: #Coles Promises To Price Match #Woolworths Spider Lettuce: https://t.co/7o1Xx4T7KV @SBSComedy https://t.co/5h1VSiN9et"
